GEOID20,District
34033020001,2
34033001501,2
34033042009,2
34033000703,2
34033042001,2
34033007001,2
34033030001,2
34033004204,2
34033004206,2
34033004208,2
34033042007,2
34033005002,2
34033070001,2
34033004205,2
34033060E01,2
3403360W001,2
3403360W002,2
34033060E02,2
34033004203,2
34033004202,2
34011ZZZZZZ,2
34011025003,2
34033020002,2
34011060001,2
34011030001,2
34033000702,2
34029025417,4
34029025422,4
34029025415,4
34029060010,4
34029060009,4
34029055014,4
34029055004,4
34029055003,4
34029055001,4
34029055011,4
34029090009,4
34029090040,4
34037120001,5
34005195001,3
34005150012,3
34005150011,3
34005150001,3
34005150014,3
34005150009,3
34005150013,3
34005135002,3
34005135003,3
34005170003,3
34005170006,3
34005170004,3
34005180004,3
34005180001,3
34005170005,3
34021035007,3
34021035004,3
34021030008,12
34021030005,12
34021050004,12
34005180005,3
34005180002,3
34005180003,3
34005170002,3
34005090007,3
34005950009,3
34005090006,3
34005090008,3
34005090003,3
34005105014,3
34005105012,3
34005110001,3
34005110002,3
34029025116,2
34029060013,4
34029060014,4
34029025139,2
34029025102,2
34005110003,3
34005110004,3
34029025104,2
34029060012,4
34029060004,4
34029060006,4
34029060005,4
34029060018,4
34029025332,4
34005105010,3
34005105004,3
34005105013,3
34005025301,3
34005025101,3
34005025302,3
34005105007,3
34005105011,3
34005105003,3
34029060002,4
34005065024,3
34005065008,3
34005065030,3
34005065028,3
34005065019,3
34005065017,3
34005065027,3
34005065029,3
34005065032,3
34005065018,3
34005065015,3
34005065011,3
34005125026,3
34005065020,3
34005065031,3
34005065010,3
34007170006,1
34005065026,3
34005065016,3
34007043034,1
34007170013,1
34007170014,1
34005065002,3
34007043033,1
34005065004,3
34005065014,3
34005065001,3
34005065003,3
34007170015,1
34007170008,1
34007043036,1
34007043046,1
34007170003,1
34007170007,1
34007043047,1
34041070001,7
34041055002,7
34041055001,7
34007170019,1
34007170017,1
34025090004,3
34025140003,3
34025047005,4
34025090009,3
34029060003,4
34007170005,1
34007170002,1
34007170012,1
34007043029,1
34007043030,1
34007170001,1
34007043005,1
34007170018,1
34007043035,1
34007043002,1
34007043014,1
34007170004,1
34007155001,1
34007105002,1
34007105001,1
34007015005,1
34007015002,1
34007165001,1
34007085004,1
34007155003,1
34007115001,1
34007115002,1
34007155002,1
34007135018,1
34007135014,1
34007135003,1
34007135009,1
34007115003,1
34007075009,1
34007115004,1
34007150005,1
34007015004,1
34007015003,1
34007015001,1
34007090003,1
34007090002,1
34007020001,1
34007020007,1
34007075021,1
34007130001,1
34007055001,1
34007150003,1
34007150001,1
34007150004,1
34007150002,1
34007020002,1
34007125003,1
34007150006,1
34015010004,1
34007020004,1
34007020003,1
34007040404,1
34007040405,1
34007040402,1
34015010019,1
34015105001,1
34007035001,1
34015010020,1
34015010017,1
34015100003,1
34015010007,1
34015105003,1
34015010015,1
34015100002,1
34015105002,1
34015110103,1
34015110102,1
34029060016,4
34015110101,1
34015100010,1
34015100009,1
34029025320,4
34029025206,4
34015060002,1
34015100015,1
34015100008,1
34015100005,1
34015060003,1
34015100007,1
34015060004,1
34015060001,1
34015100001,1
34015100016,1
34015070005,1
34029005001,2
34029102002,2
34029025000,2
34029ZZZZZZ,2
34029060008,4
34029060015,4
34029085003,2
34029060007,4
34029060017,4
34029060011,4
34029102001,2
34029102005,2
34029102006,2
34029102004,2
34029150018,2
34029003002,2
34029003004,2
34029003006,2
34029003007,2
34029003012,2
34029003008,2
34029003005,2
34029160002,2
